base_section_id,title,status,md_tables,md_rows,db_chunks,db_tables,db_rows,coverage_pct,issue_types,details,chunk_ids
11-2-6,녹막이 페인트칠,FAIL,3,13,1,1,2,15.4,ROW_MISSING;COL_MISMATCH,"원본 13행 vs DB 2행 (coverage 15.4%) | 원본에만 있는 컬럼 수: {5} (MD: [3, 5], DB: [3])",C-0776
8-4-5,[40]콘크리트기계,FAIL,2,32,1,1,5,15.6,ROW_MISSING,원본 32행 vs DB 5행 (coverage 15.6%),C-0307
2-8-2,낙하물 방지망(플라잉넷) 설치 및 해체,FAIL,6,12,1,1,2,16.7,ROW_MISSING;COL_MISMATCH,"원본 12행 vs DB 2행 (coverage 16.7%) | 원본에만 있는 컬럼 수: {10} (MD: [4, 10], DB: [4])",C-0077
3-5-2,암반청소,FAIL,3,14,1,1,3,21.4,ROW_MISSING;COL_MISMATCH,"원본 14행 vs DB 3행 (coverage 21.4%) | 원본에만 있는 컬럼 수: {12, 7} (MD: [6, 7, 12], DB: [6])",C-0144
11-2-3,수성페인트 뿜칠,FAIL,4,11,1,2,3,27.3,ROW_MISSING;COL_MISMATCH,"원본 11행 vs DB 3행 (coverage 27.3%) | 원본에만 있는 컬럼 수: {6} (MD: [3, 6], DB: [3])",C-0773
2-10-5,조립식 간이흙막이 설치 및 해체,FAIL,3,11,1,1,3,27.3,ROW_MISSING;COL_MISMATCH,"원본 11행 vs DB 3행 (coverage 27.3%) | 원본에만 있는 컬럼 수: {8, 6} (MD: [6, 8], DB: [7])",C-0105
2-4-6,하수관 준설(버킷식),FAIL,3,11,1,1,3,27.3,ROW_MISSING;COL_MISMATCH,"원본 11행 vs DB 3행 (coverage 27.3%) | 원본에만 있는 컬럼 수: {8} (MD: [5, 8], DB: [5])",C-1121
6-7-6,PC거더 설치,FAIL,3,18,1,1,5,27.8,ROW_MISSING,원본 18행 vs DB 5행 (coverage 27.8%),C-0239
2-9-1,타워크레인 방호울타리 설치 및 해체,FAIL,5,7,1,2,2,28.6,ROW_MISSING;COL_MISMATCH,"원본 7행 vs DB 2행 (coverage 28.6%) | 원본에만 있는 컬럼 수: {6} (MD: [3, 5, 6], DB: [3, 5])",C-0089
5-4-4,단열재 핀사용 붙이기,FAIL,10,28,1,3,8,28.6,ROW_MISSING;COL_MISMATCH,"원본 28행 vs DB 8행 (coverage 28.6%) | 원본에만 있는 컬럼 수: {7} (MD: [3, 5, 7], DB: [3, 5])",C-0680
3-4-4,뒤채움 및 다짐(소형장비),FAIL,5,17,1,1,5,29.4,ROW_MISSING;COL_MISMATCH,"원본 17행 vs DB 5행 (coverage 29.4%) | 원본에만 있는 컬럼 수: {8} (MD: [5, 8], DB: [5])",C-0137
2-1-13,일체형 맨홀추락방지망 설치(보도구간),FAIL,2,12,1,1,4,33.3,ROW_MISSING,원본 12행 vs DB 4행 (coverage 33.3%),C-1080
2-7-3,강관틀 비계 설치 및 해체,FAIL,3,6,1,1,2,33.3,ROW_MISSING;COL_MISMATCH,"원본 6행 vs DB 2행 (coverage 33.3%) | 원본에만 있는 컬럼 수: {6, 7} (MD: [6, 7], DB: [5])",C-0072
3-3-6,암발파(대규모발파 TYPE-Ⅵ),FAIL,8,24,1,4,8,33.3,ROW_MISSING,원본 24행 vs DB 8행 (coverage 33.3%),C-0130
3-4-7,되메우기 및 다짐(대형장비),FAIL,3,17,1,1,6,35.3,ROW_MISSING,원본 17행 vs DB 6행 (coverage 35.3%),C-0140
1-8-13,유색포장(미끄럼방지),FAIL,4,13,1,2,5,38.5,ROW_MISSING;COL_MISMATCH,"원본 13행 vs DB 5행 (coverage 38.5%) | 원본에만 있는 컬럼 수: {11, 7} (MD: [2, 7, 11], DB: [2, 6])",C-0369
