section_id,title,status,md_tables,md_rows,db_tables,db_rows,coverage_pct,issue_types,details
3-2-1,굴착(인력/토사),FAIL,11,59,1,1,1.7,ROW_MISSING;TABLE_COUNT_DIFF,원본 59행 vs DB 1행 (coverage 1.7%) | 원본 11개 vs DB 1개 테이블
2-2-6,제연댐퍼 설치,FAIL,11,37,1,1,2.7,ROW_MISSING;TABLE_COUNT_DIFF,원본 37행 vs DB 1행 (coverage 2.7%) | 원본 11개 vs DB 1개 테이블
8-1-2,공사규모별 표준건설기계,FAIL,6,34,1,2,5.9,ROW_MISSING;TABLE_COUNT_DIFF,원본 34행 vs DB 2행 (coverage 5.9%) | 원본 6개 vs DB 1개 테이블
2-2-7,규준틀,FAIL,6,16,1,1,6.2,ROW_MISSING;TABLE_COUNT_DIFF,원본 16행 vs DB 1행 (coverage 6.2%) | 원본 6개 vs DB 1개 테이블
7-2-1,메붙임,FAIL,21,43,1,3,7.0,ROW_MISSING;TABLE_COUNT_DIFF,원본 43행 vs DB 3행 (coverage 7.0%) | 원본 21개 vs DB 1개 테이블
2-1-3,아치쌓기,FAIL,5,27,1,2,7.4,ROW_MISSING;TABLE_COUNT_DIFF,원본 27행 vs DB 2행 (coverage 7.4%) | 원본 5개 vs DB 1개 테이블
10-5-1,압력공기탱크설치,FAIL,7,13,1,1,7.7,ROW_MISSING;TABLE_COUNT_DIFF,원본 13행 vs DB 1행 (coverage 7.7%) | 원본 7개 vs DB 1개 테이블
3-11-4,머신 컨트롤(MC) 불도우저,FAIL,5,13,1,1,7.7,ROW_MISSING;TABLE_COUNT_DIFF,원본 13행 vs DB 1행 (coverage 7.7%) | 원본 5개 vs DB 1개 테이블
8-1-3,운반 및 수송,FAIL,9,102,2,8,7.8,ROW_MISSING;TABLE_COUNT_DIFF,원본 102행 vs DB 8행 (coverage 7.8%) | 원본 9개 vs DB 2개 테이블
4-2-1,송풍기 설치,FAIL,4,49,1,4,8.2,ROW_MISSING;TABLE_COUNT_DIFF,원본 49행 vs DB 4행 (coverage 8.2%) | 원본 4개 vs DB 1개 테이블
2-11-2,건축물 현장정리,FAIL,6,12,1,1,8.3,ROW_MISSING;TABLE_COUNT_DIFF,원본 12행 vs DB 1행 (coverage 8.3%) | 원본 6개 vs DB 1개 테이블
3-2-2,기계굴착의 능력,FAIL,8,47,1,4,8.5,ROW_MISSING;TABLE_COUNT_DIFF,원본 47행 vs DB 4행 (coverage 8.5%) | 원본 8개 vs DB 1개 테이블
11-1-6,비닐 보양,FAIL,7,11,1,1,9.1,ROW_MISSING;TABLE_COUNT_DIFF,원본 11행 vs DB 1행 (coverage 9.1%) | 원본 7개 vs DB 1개 테이블
2-9-10,점멸등 설치 및 해체,FAIL,7,11,1,1,9.1,ROW_MISSING;TABLE_COUNT_DIFF,원본 11행 vs DB 1행 (coverage 9.1%) | 원본 7개 vs DB 1개 테이블
6-4-3,방수모르타르 바름,FAIL,5,11,1,1,9.1,ROW_MISSING;TABLE_COUNT_DIFF,원본 11행 vs DB 1행 (coverage 9.1%) | 원본 5개 vs DB 1개 테이블
7-3-4,소파블록 거치,FAIL,7,19,1,2,10.5,ROW_MISSING;TABLE_COUNT_DIFF,원본 19행 vs DB 2행 (coverage 10.5%) | 원본 7개 vs DB 1개 테이블
2-8-14,엘리베이터 추락방호망 설치 및 해체,FAIL,7,9,1,1,11.1,ROW_MISSING;TABLE_COUNT_DIFF,원본 9행 vs DB 1행 (coverage 11.1%) | 원본 7개 vs DB 1개 테이블
1-3-3,데크플레이트 설치,FAIL,13,34,1,4,11.8,ROW_MISSING;TABLE_COUNT_DIFF,원본 34행 vs DB 4행 (coverage 11.8%) | 원본 13개 vs DB 1개 테이블
12-3-1,중앙처리장치(CPU) 설치,FAIL,2,25,1,3,12.0,ROW_MISSING,원본 25행 vs DB 3행 (coverage 12.0%)
6-7-5,강관압입추진공,FAIL,5,40,1,5,12.5,ROW_MISSING;TABLE_COUNT_DIFF,원본 40행 vs DB 5행 (coverage 12.5%) | 원본 5개 vs DB 1개 테이블
2-3-1,식생매트 설치,FAIL,7,23,1,3,13.0,ROW_MISSING;TABLE_COUNT_DIFF,원본 23행 vs DB 3행 (coverage 13.0%) | 원본 7개 vs DB 1개 테이블
2-4-3,관세관(스크레이퍼+워터젯트 병행 방법),FAIL,2,15,1,2,13.3,ROW_MISSING,원본 15행 vs DB 2행 (coverage 13.3%)
2-9-1,타워크레인 방호울타리 설치 및 해체,FAIL,5,7,1,1,14.3,ROW_MISSING;TABLE_COUNT_DIFF,원본 7행 vs DB 1행 (coverage 14.3%) | 원본 5개 vs DB 1개 테이블
10-2-2,플로어힌지 설치,FAIL,5,13,1,2,15.4,ROW_MISSING;TABLE_COUNT_DIFF,원본 13행 vs DB 2행 (coverage 15.4%) | 원본 5개 vs DB 1개 테이블
11-2-6,녹막이 페인트칠,FAIL,3,13,1,2,15.4,ROW_MISSING;TABLE_COUNT_DIFF,원본 13행 vs DB 2행 (coverage 15.4%) | 원본 3개 vs DB 1개 테이블
8-4-5,[40]콘크리트기계,FAIL,2,32,1,5,15.6,ROW_MISSING,원본 32행 vs DB 5행 (coverage 15.6%)
4-3-2,기초앵커 설치,FAIL,9,31,1,5,16.1,ROW_MISSING;TABLE_COUNT_DIFF,원본 31행 vs DB 5행 (coverage 16.1%) | 원본 9개 vs DB 1개 테이블
2-3-2,ALC패널 설치,FAIL,3,18,1,3,16.7,ROW_MISSING;TABLE_COUNT_DIFF,원본 18행 vs DB 3행 (coverage 16.7%) | 원본 3개 vs DB 1개 테이블
2-8-2,낙하물 방지망(플라잉넷) 설치 및 해체,FAIL,6,12,1,2,16.7,ROW_MISSING;TABLE_COUNT_DIFF,원본 12행 vs DB 2행 (coverage 16.7%) | 원본 6개 vs DB 1개 테이블
3-2-11,기존방수층 제거 및 바탕처리,FAIL,6,12,1,2,16.7,ROW_MISSING;TABLE_COUNT_DIFF,원본 12행 vs DB 2행 (coverage 16.7%) | 원본 6개 vs DB 1개 테이블
6-1-7,콘크리트 현장양생공시체 제작,FAIL,5,12,1,2,16.7,ROW_MISSING;TABLE_COUNT_DIFF,원본 12행 vs DB 2행 (coverage 16.7%) | 원본 5개 vs DB 1개 테이블
8-2-1,불도저,FAIL,8,41,4,7,17.1,ROW_MISSING;TABLE_COUNT_DIFF,원본 41행 vs DB 7행 (coverage 17.1%) | 원본 8개 vs DB 4개 테이블
7-2-5,수중고르기,FAIL,16,34,3,6,17.6,ROW_MISSING;TABLE_COUNT_DIFF,원본 34행 vs DB 6행 (coverage 17.6%) | 원본 16개 vs DB 3개 테이블
1-8-5,시선유도표지 설치,FAIL,8,11,1,2,18.2,ROW_MISSING;TABLE_COUNT_DIFF,원본 11행 vs DB 2행 (coverage 18.2%) | 원본 8개 vs DB 1개 테이블
10-1-3,알루미늄창호 설치,FAIL,6,11,1,2,18.2,ROW_MISSING;TABLE_COUNT_DIFF,원본 11행 vs DB 2행 (coverage 18.2%) | 원본 6개 vs DB 1개 테이블
5-2-1,매트부설,FAIL,9,38,2,7,18.4,ROW_MISSING;TABLE_COUNT_DIFF,원본 38행 vs DB 7행 (coverage 18.4%) | 원본 9개 vs DB 2개 테이블
2-1-4,"아스팔트 포장 절삭 후 아스팔트 덧씌우기(1회 절삭, 2회 포장)",FAIL,3,16,2,3,18.8,ROW_MISSING,원본 16행 vs DB 3행 (coverage 18.8%)
6-5-3,소켓융착 접합 및 부설,FAIL,4,16,1,3,18.8,ROW_MISSING;TABLE_COUNT_DIFF,원본 16행 vs DB 3행 (coverage 18.8%) | 원본 4개 vs DB 1개 테이블
6-7-3,PC BOX 설치,FAIL,5,36,2,7,19.4,ROW_MISSING;TABLE_COUNT_DIFF,원본 36행 vs DB 7행 (coverage 19.4%) | 원본 5개 vs DB 2개 테이블
6-6-3,절단,FAIL,4,29,1,6,20.7,ROW_MISSING;TABLE_COUNT_DIFF,원본 29행 vs DB 6행 (coverage 20.7%) | 원본 4개 vs DB 1개 테이블
1-2-5,인력,FAIL,6,24,1,5,20.8,ROW_MISSING;TABLE_COUNT_DIFF,원본 24행 vs DB 5행 (coverage 20.8%) | 원본 6개 vs DB 1개 테이블
1-2-6,공구 및 경장비,FAIL,5,14,1,3,21.4,ROW_MISSING;TABLE_COUNT_DIFF,원본 14행 vs DB 3행 (coverage 21.4%) | 원본 5개 vs DB 1개 테이블
3-5-2,암반청소,FAIL,3,14,1,3,21.4,ROW_MISSING;TABLE_COUNT_DIFF,원본 14행 vs DB 3행 (coverage 21.4%) | 원본 3개 vs DB 1개 테이블
10-3-2,커튼월유리 설치,FAIL,6,9,1,2,22.2,ROW_MISSING;TABLE_COUNT_DIFF,원본 9행 vs DB 2행 (coverage 22.2%) | 원본 6개 vs DB 1개 테이블
2-9-5,PE가설방호벽 설치 및 해체,FAIL,6,9,1,2,22.2,ROW_MISSING;TABLE_COUNT_DIFF,원본 9행 vs DB 2행 (coverage 22.2%) | 원본 6개 vs DB 1개 테이블
4-1-5,거적덮기,FAIL,3,9,1,2,22.2,ROW_MISSING;TABLE_COUNT_DIFF,원본 9행 vs DB 2행 (coverage 22.2%) | 원본 3개 vs DB 1개 테이블
6-3-1,합판거푸집 설치 및 해체,FAIL,10,54,4,12,22.2,ROW_MISSING;TABLE_COUNT_DIFF,원본 54행 vs DB 12행 (coverage 22.2%) | 원본 10개 vs DB 4개 테이블
3-4-1,흙쌓기,FAIL,13,31,3,7,22.6,ROW_MISSING;TABLE_COUNT_DIFF,원본 31행 vs DB 7행 (coverage 22.6%) | 원본 13개 vs DB 3개 테이블
4-1-4,마루널 설치,FAIL,9,31,2,7,22.6,ROW_MISSING;TABLE_COUNT_DIFF,원본 31행 vs DB 7행 (coverage 22.6%) | 원본 9개 vs DB 2개 테이블
2-1-6,아스팔트 절삭 및 덧씌우기,FAIL,2,22,1,5,22.7,ROW_MISSING,원본 22행 vs DB 5행 (coverage 22.7%)
4-4-2,신축이음매 부설,FAIL,3,13,1,3,23.1,ROW_MISSING;TABLE_COUNT_DIFF,원본 13행 vs DB 3행 (coverage 23.1%) | 원본 3개 vs DB 1개 테이블
4-5-3,장대레일 설정,FAIL,4,13,1,3,23.1,ROW_MISSING;TABLE_COUNT_DIFF,원본 13행 vs DB 3행 (coverage 23.1%) | 원본 4개 vs DB 1개 테이블
6-7-2,파형강관 부설 및 접합,FAIL,3,13,1,3,23.1,ROW_MISSING;TABLE_COUNT_DIFF,원본 13행 vs DB 3행 (coverage 23.1%) | 원본 3개 vs DB 1개 테이블
2-2-2,블록 보강쌓기,FAIL,4,17,1,4,23.5,ROW_MISSING;TABLE_COUNT_DIFF,원본 17행 vs DB 4행 (coverage 23.5%) | 원본 4개 vs DB 1개 테이블
2-7-6,타워형 가설 계단 설치 및 해체,FAIL,5,17,2,4,23.5,ROW_MISSING;TABLE_COUNT_DIFF,원본 17행 vs DB 4행 (coverage 23.5%) | 원본 5개 vs DB 2개 테이블
4-3-3,굴취(근원직경),FAIL,6,41,1,10,24.4,ROW_MISSING;TABLE_COUNT_DIFF,원본 41행 vs DB 10행 (coverage 24.4%) | 원본 6개 vs DB 1개 테이블
2-4-4,세로형 가설방음판 설치 및 해체,FAIL,3,8,1,2,25.0,ROW_MISSING;TABLE_COUNT_DIFF,원본 8행 vs DB 2행 (coverage 25.0%) | 원본 3개 vs DB 1개 테이블
2-5-2,도로용 목재 수평규준틀 설치 및 철거,FAIL,4,8,1,2,25.0,ROW_MISSING;TABLE_COUNT_DIFF,원본 8행 vs DB 2행 (coverage 25.0%) | 원본 4개 vs DB 1개 테이블
6-2-3,관 절단,FAIL,15,44,4,11,25.0,ROW_MISSING;TABLE_COUNT_DIFF,원본 44행 vs DB 11행 (coverage 25.0%) | 원본 15개 vs DB 4개 테이블
6-3-3,유로폼 설치 및 해체,FAIL,12,39,4,10,25.6,ROW_MISSING;TABLE_COUNT_DIFF,원본 39행 vs DB 10행 (coverage 25.6%) | 원본 12개 vs DB 4개 테이블
8-2-4,트랜처,FAIL,11,46,6,12,26.1,ROW_MISSING;TABLE_COUNT_DIFF,원본 46행 vs DB 12행 (coverage 26.1%) | 원본 11개 vs DB 6개 테이블
1-8-2,도로 표지판 설치,FAIL,4,11,1,3,27.3,ROW_MISSING;TABLE_COUNT_DIFF,원본 11행 vs DB 3행 (coverage 27.3%) | 원본 4개 vs DB 1개 테이블
11-2-3,수성페인트 뿜칠,FAIL,4,11,2,3,27.3,ROW_MISSING;TABLE_COUNT_DIFF,원본 11행 vs DB 3행 (coverage 27.3%) | 원본 4개 vs DB 2개 테이블
11-3-3,석재도료칠,FAIL,4,11,1,3,27.3,ROW_MISSING;TABLE_COUNT_DIFF,원본 11행 vs DB 3행 (coverage 27.3%) | 원본 4개 vs DB 1개 테이블
